move,pos_id_1,pos_id_2,pos_id_3,pos_id_4,pos_id_5,pos_id_6,pos_id_7,pos_id_8,pos_id_9,pos_id_10,pos_id_11,pos_id_12,pos_id_13,pos_id_14,pos_id_15,pos_id_16,pos_id_17,pos_id_18,pos_id_19,pos_id_20,pos_id_21,pos_id_22,pos_id_23,pos_id_24,pos_id_25,pos_id_26,pos_id_27,pos_id_28,pos_id_29,pos_id_30,pos_id_31,pos_id_32,pos_id_33,pos_id_34,pos_id_35,pos_id_36,pos_id_37,pos_id_38,pos_id_39,pos_id_40,pos_id_41,pos_id_42,pos_id_43,pos_id_44,pos_id_45,pos_id_46,pos_id_47,pos_id_48,pos_id_49,pos_id_50,pos_id_51,pos_id_52,pos_id_53,pos_id_54,pos_id_55,pos_id_56,pos_id_57,pos_id_58,pos_id_59,pos_id_60,pos_id_61,pos_id_62,pos_id_63,pos_id_64,pos_id_65,from_x,from_y,to_x,to_y,move_turn,move_type,move_status,red_game_value,blue_game_value
1,10,10,6,99,6,0,10,3,5,7,7,-1,1,-1,8,1,4,-1,3,0,3,5,2,-1,2,-1,1,4,2,9,-1,-1,-1,-1,-1,8,1,7,5,7,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,5,0,4,1,1,2,1,6235,6235
2,10,10,6,99,6,0,10,3,5,7,7,-1,1,-1,8,1,4,-1,3,0,3,5,2,-1,2,-1,1,4,2,9,-1,-1,-1,-1,-1,8,1,7,5,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,4,5,4,0,1,1,6085,6235
3,10,10,6,99,6,0,10,3,5,7,7,-1,1,-1,8,1,4,-1,3,0,3,5,2,9,2,-1,1,4,2,-1,-1,-1,-1,-1,-1,8,1,7,5,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,5,4,4,3,1,2,1,6085,6235
4,10,10,6,99,6,0,10,3,5,7,7,-1,1,-1,8,1,4,-1,3,0,3,5,2,9,2,-1,1,4,2,-1,-1,-1,-1,-1,-1,8,1,7,-1,5,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,3,7,4,0,9,1,6085,6235
5,10,10,6,99,6,0,10,3,5,7,7,-1,1,0,8,1,4,-1,3,-1,3,5,2,9,2,-1,1,4,2,-1,-1,-1,-1,-1,-1,8,1,7,-1,5,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,4,2,3,1,2,1,6085,6235
6,10,10,6,99,6,0,10,3,5,7,7,-1,1,0,8,1,4,-1,3,-1,3,5,2,9,5,-1,1,4,2,-1,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,4,4,4,0,1,1,6085,6233
7,10,10,6,99,6,0,10,3,5,7,7,1,1,0,8,-1,4,-1,3,-1,3,5,2,9,5,-1,1,4,2,-1,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,0,2,1,1,2,1,6085,6233
8,10,10,6,99,6,0,10,3,5,7,7,1,1,0,8,-1,4,-1,3,-1,3,5,2,9,-1,-1,1,4,2,5,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,4,4,5,4,0,21,1,6085,6233
9,10,10,6,99,6,0,10,3,5,7,7,1,1,0,8,-1,4,-1,3,-1,-1,5,2,9,-1,-1,1,4,2,5,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,4,0,7,0,1,8,1,6085,6230
10,10,10,6,99,6,0,10,3,5,7,7,1,1,0,8,-1,4,-1,3,-1,-1,5,2,9,-1,-1,1,4,2,5,-1,-1,-1,-1,-1,-1,1,7,-1,-1,2,8,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,0,8,1,0,2,1,6085,6230
